"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,   "SoundSpeed"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -1.536259245,      0.4439053376,      0.8241392632,       4.049613793,        438.901776,       -4.62199905,      -1.963337896
          0,           0,           1,      -1.732190002,      0.2966929165,      0.6244320819,       3.842756988,       438.9017753,      -5.005524015,       5.906991517
          0,           0,           2,      -1.935160437,      0.2136873415,      0.5077592623,       3.657953276,       438.9017763,      -5.246660205,       5.907257301
          0,           0,           3,      -2.064243623,      0.1587125264,       0.435157918,       3.562297745,       438.9017773,      -5.243292392,       5.907579426
          0,           0,           4,      -2.090044223,      0.1026265242,      0.3747413184,       3.533795318,       438.9017773,      -5.317743461,       5.907938312
          0,           0,           5,      -2.098450147,     0.05472513685,      0.3269187651,       3.510303506,        438.901776,      -5.391584328,       5.908245586
          0,           0,           6,      -2.115603282,     0.01843726105,      0.2896106051,       3.484091497,       438.9017757,      -5.434690931,       5.908466413
          0,           0,           7,      -2.134487259,   -0.008686924549,      0.2613521183,       3.460138653,       438.9017685,      -5.461665951,        5.90864218
          0,           0,           8,       -2.15301368,    -0.03216714678,      0.2383170401,       3.439665046,       438.9017622,      -5.480751755,        5.90880718
          0,           0,           9,      -2.170420266,    -0.05393318324,      0.2188632703,       3.422317607,       438.9017624,      -5.495920293,       5.908984099
          0,           0,          10,      -2.186420796,    -0.07423208311,      0.2019255298,       3.407419558,       438.9017625,      -5.497900871,       5.909180487
          0,           0,          11,      -2.200891775,    -0.09290993042,       0.186714527,       3.394376512,       438.9017625,      -5.514646882,       5.909391969
          0,           0,          12,      -2.213980889,     -0.1098648886,      0.1726847234,       3.382692952,       438.9017624,      -5.478275348,       5.909612592
          0,           0,          13,      -2.225636117,     -0.1255191554,      0.1595894395,       3.372148194,       438.9017622,      -5.527720141,       5.909837506
          0,           0,          14,      -2.236149619,     -0.1402110301,      0.1471817573,       3.362469669,        438.901762,       -5.54523506,       5.910063806
          0,           0,          15,      -2.245585673,     -0.1542060025,       0.135430389,       3.353571531,       438.9017617,      -5.552342157,       5.910290632
          0,           0,          16,      -2.254068252,     -0.1676908623,      0.1243595692,       3.345370969,       438.9017612,      -5.285773571,       5.910517769
          0,           0,          17,      -2.261742436,     -0.1807637893,      0.1139681275,       3.337791515,       438.9017601,      -5.021315574,       5.910745006
          0,           0,          18,      -2.268745166,      -0.193463856,        0.10421514,       3.330765479,        438.901758,      -4.835382371,       5.910972129
          0,           0,          19,      -2.275190365,     -0.2058119637,     0.09503781952,       3.324233953,       438.9017578,      -4.695985839,       5.911198968
          0,           0,          20,      -2.281158007,     -0.2177983872,     0.08637183711,       3.318150095,       438.9017577,      -4.585954464,       5.911425389
